"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","2023","ROUTE 14 INVESTMENT PARTNERS LLC","58-102408.0004","TYPE 2 NON-IRRIGATION GFR","060001","B-05-02 08CCB","1.994","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","2023","PIMA COUNTY PARKS & RECREATION","58-100379.0004","TYPE 2 NON-IRRIGATION GFR","085744","D-12-13 19ADA","26.651","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","AVRA VALLEY","2023","PIMA COUNTY WWMD INA ROAD","58-109394.0001","TYPE 2 NON-IRRIGATION GFR","087618","D-12-11 02BAA","1.293","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","2023","TESSA LEE","60-203326.0002","IRRIGATION USE","087775","D-20-26 25BCA","120","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","2023","RIVERVIEW, LLP DBA CORONADO FARMS, LLP","60-203576.0003","IRRIGATION USE","200257","D-19-26 17DCC","2.16","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","2023","RIVERVIEW, LLP DBA CORONADO FARMS, LLP","60-203352.0004","IRRIGATION USE","200257","D-19-26 17DCC","4.5","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","2023","PIMA COUNTY PARKS & RECREATION","58-100381.0006","TYPE 2 NON-IRRIGATION GFR","200410","D-13-16 20CDC","11.529","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","2023","CCA PROPERTIES OF ARIZONA, LLC","58-114619.0067","TYPE 1 GFR","206369","D-07-08 16DDD","215.381","WITHDRAWAL","GROUNDWATER","32","48","26","111","31","5","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","2023","AUSTIN RANCH LLC, an Arizona limited liability company","58-111411.0001","TYPE 1 GFR","207788","B-04-02 10ACC","18.446","WITHDRAWAL","GROUNDWATER","33","42","14.7","112","27","8.2","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","2023","Courtland Homes Inc., an Arizona corporation","58-117273.0003","TYPE 2 NON-IRRIGATION GFR","207788","B-04-02 10ACC","26","WITHDRAWAL","GROUNDWATER","33","42","14.7","112","27","8.2","58"
